segment_id,u,v,k,index,lat,lng,heading,image_path,class,confidence,xmin,ymin,xmax,ymax
324580358_324580159_0,324580358,324580159,0,0,10.3015678,123.87060375,283.29428445425543,data\road_images\324580358_324580159_0\0_283.jpg,6,0.2688172459602356,30.20425796508789,297.6354064941406,59.43928909301758,305.5744934082031
940969330_1140342796_0,940969330,1140342796,0,0,10.30102888425986,123.87283509615796,283.8043191422345,data\road_images\940969330_1140342796_0\0_284.jpg,1,0.30747050046920776,242.0019073486328,242.9342498779297,301.5877380371094,378.55780029296875
1140342125_1140342126_0,1140342125,1140342126,0,0,10.301034650137044,123.87362768107901,331.481404812777,data\road_images\1140342125_1140342126_0\0_331.jpg,3,0.3015771210193634,356.5102844238281,301.5395812988281,383.2724914550781,322.4620056152344
1140342126_1140342125_0,1140342126,1140342125,0,0,10.301034650137044,123.87362768107901,151.481359946824,data\road_images\1140342126_1140342125_0\0_151.jpg,1,0.5239920616149902,296.1038818359375,304.90301513671875,308.18701171875,367.90386962890625
1140342699_1140342700_2,1140342699,1140342700,2,0,10.300318636217606,123.87048034359128,264.86029526925006,data\road_images\1140342699_1140342700_2\0_265.jpg,0,0.5012004971504211,1.818511962890625,270.0804443359375,215.1532440185547,431.98602294921875
1140342700_1140342699_1,1140342700,1140342699,1,0,10.300318636217606,123.87048034359128,84.86021304103639,data\road_images\1140342700_1140342699_1\0_85.jpg,3,0.7677210569381714,122.47903442382812,366.8613586425781,172.28955078125,384.0991516113281
1140342700_1140342699_1,1140342700,1140342699,1,0,10.300318636217606,123.87048034359128,84.86021304103639,data\road_images\1140342700_1140342699_1\0_85.jpg,3,0.5204035043716431,30.081995010375977,353.7355041503906,65.9836196899414,368.0893249511719
1140342716_1140342717_0,1140342716,1140342717,0,0,10.2994682,123.8711917,184.51251260031069,data\road_images\1140342716_1140342717_0\0_185.jpg,4,0.5270441770553589,203.06057739257812,334.1654968261719,453.1573181152344,348.2769470214844
1140342716_1140342699_0,1140342716,1140342699,0,0,10.2996728,123.87098205,264.9482203551174,data\road_images\1140342716_1140342699_0\0_265.jpg,1,0.48338326811790466,285.6633605957031,291.901611328125,331.7038879394531,417.35797119140625
1140342716_1140342783_0,1140342716,1140342783,0,0,10.2997047,123.8713478,84.91105737120881,data\road_images\1140342716_1140342783_0\0_85.jpg,1,0.263410747051239,274.04229736328125,245.42715454101562,311.12042236328125,413.4971618652344
1140342717_1140342716_0,1140342717,1140342716,0,0,10.2994682,123.8711917,4.512506163761316,data\road_images\1140342717_1140342716_0\0_5.jpg,4,0.6920009851455688,62.15455627441406,391.8563232421875,492.173828125,429.837158203125
1140342717_1140342739_0,1140342717,1140342739,0,0,10.29925405,123.87140225,87.39008614703647,data\road_images\1140342717_1140342739_0\0_87.jpg,3,0.5388055443763733,573.4012451171875,488.6920471191406,592.9447021484375,496.2779846191406
1140342717_1140342739_0,1140342717,1140342739,0,0,10.29925405,123.87140225,87.39008614703647,data\road_images\1140342717_1140342739_0\0_87.jpg,6,0.4980706572532654,300.70220947265625,318.6311950683594,341.77099609375,330.2187805175781
1140342717_1140342739_0,1140342717,1140342739,0,0,10.29925405,123.87140225,87.39008614703647,data\road_images\1140342717_1140342739_0\0_87.jpg,4,0.3833589255809784,241.10293579101562,349.4463806152344,384.2505187988281,356.6236267089844
1140342717_1140342739_0,1140342717,1140342739,0,0,10.29925405,123.87140225,87.39008614703647,data\road_images\1140342717_1140342739_0\0_87.jpg,3,0.37221673130989075,425.589599609375,326.3392639160156,450.71826171875,336.8904724121094
1140342717_1140342739_0,1140342717,1140342739,0,0,10.29925405,123.87140225,87.39008614703647,data\road_images\1140342717_1140342739_0\0_87.jpg,4,0.3405317962169647,212.55450439453125,446.2775573730469,466.22119140625,459.2447204589844
1140342719_1140342717_0,1140342719,1140342717,0,0,10.29908175,123.87116075,4.495688453320213,data\road_images\1140342719_1140342717_0\0_4.jpg,4,0.7024984359741211,166.40603637695312,377.6245422363281,454.8569030761719,392.3448181152344
1140342719_12378167879_0,1140342719,12378167879,0,0,10.298926000000002,123.8710593,274.1382776916681,data\road_images\1140342719_12378167879_0\0_274.jpg,1,0.3229665160179138,484.9552307128906,519.703125,499.1275939941406,554.1494140625
1140342719_12378167879_0,1140342719,12378167879,0,0,10.298926000000002,123.8710593,274.1382776916681,data\road_images\1140342719_12378167879_0\0_274.jpg,6,0.2603444457054138,277.80609130859375,253.81175231933594,301.6558837890625,260.3257751464844
1140342730_1140342739_0,1140342730,1140342739,0,0,10.299017773918706,123.87162570239005,356.64143912896293,data\road_images\1140342730_1140342739_0\0_357.jpg,1,0.33871883153915405,1.2330245971679688,368.2543029785156,216.08230590820312,637.24609375
1140342730_1140342739_0,1140342730,1140342739,0,0,10.299017773918706,123.87162570239005,356.64143912896293,data\road_images\1140342730_1140342739_0\0_357.jpg,3,0.31770139932632446,296.86053466796875,297.5517272949219,316.32513427734375,303.1239318847656
1140342739_1140342717_0,1140342739,1140342717,0,0,10.29925405,123.87140225,267.3901678717222,data\road_images\1140342739_1140342717_0\0_267.jpg,0,0.3050370216369629,0.10307693481445312,524.140869140625,76.86070251464844,637.8218994140625
1140342739_1140342746_0,1140342739,1140342746,0,0,10.299480727514016,123.87240014969129,40.669804949672255,data\road_images\1140342739_1140342746_0\0_41.jpg,6,0.3176756501197815,82.49609375,241.87611389160156,107.49209594726562,248.17311096191406
1140342739_1140342730_0,1140342739,1140342730,0,0,10.299017773918706,123.87162570239005,176.6414339441817,data\road_images\1140342739_1140342730_0\0_177.jpg,4,0.7683492302894592,232.9681396484375,329.46319580078125,417.7548828125,340.78106689453125
1140342746_8318118404_0,1140342746,8318118404,0,0,10.30008335,123.8723338,238.2528576109802,data\road_images\1140342746_8318118404_0\0_238.jpg,4,0.59596186876297,184.53012084960938,431.0552062988281,502.0130920410156,450.2378234863281
1140342757_1140342780_0,1140342757,1140342780,0,0,10.299090197956534,123.87263214265249,56.401665626188276,data\road_images\1140342757_1140342780_0\0_56.jpg,0,0.29954075813293457,333.9802551269531,332.3299865722656,460.4435119628906,432.6369934082031
1140342780_1140342757_0,1140342780,1140342757,0,0,10.299090197956534,123.87263214265249,236.40195129155663,data\road_images\1140342780_1140342757_0\0_236.jpg,6,0.6802614331245422,368.232177734375,294.302001953125,398.62628173828125,303.95306396484375
1140342780_1140342757_0,1140342780,1140342757,0,0,10.299090197956534,123.87263214265249,236.40195129155663,data\road_images\1140342780_1140342757_0\0_236.jpg,3,0.5997530221939087,344.0408630371094,316.63287353515625,373.2382507324219,327.2664794921875
1140342780_1140342757_0,1140342780,1140342757,0,0,10.299090197956534,123.87263214265249,236.40195129155663,data\road_images\1140342780_1140342757_0\0_236.jpg,3,0.5434117913246155,370.6697998046875,337.53497314453125,414.33544921875,350.31768798828125
1140342780_1140342757_0,1140342780,1140342757,0,0,10.299090197956534,123.87263214265249,236.40195129155663,data\road_images\1140342780_1140342757_0\0_236.jpg,3,0.5321547389030457,319.62835693359375,341.5870056152344,341.32977294921875,357.0469665527344
1140342780_1140342757_0,1140342780,1140342757,0,0,10.299090197956534,123.87263214265249,236.40195129155663,data\road_images\1140342780_1140342757_0\0_236.jpg,3,0.5008471012115479,368.6993408203125,293.923828125,396.60211181640625,303.91082763671875
1140342780_1140342757_0,1140342780,1140342757,0,0,10.299090197956534,123.87263214265249,236.40195129155663,data\road_images\1140342780_1140342757_0\0_236.jpg,3,0.25233137607574463,392.1303405761719,341.01031494140625,414.5143127441406,349.61151123046875
1140342783_8318118404_0,1140342783,8318118404,0,0,10.299830393517853,123.87191795450065,66.55524897595586,data\road_images\1140342783_8318118404_0\0_67.jpg,1,0.7016317844390869,0.0,296.7823791503906,69.10816955566406,331.6676940917969
1140342783_8318118404_0,1140342783,8318118404,0,0,10.299830393517853,123.87191795450065,66.55524897595586,data\road_images\1140342783_8318118404_0\0_67.jpg,1,0.3401249051094055,82.65521240234375,282.8534851074219,136.566162109375,316.1335754394531
1140342792_1140342783_0,1140342792,1140342783,0,0,10.30014008197724,123.87137126656593,159.57526683991046,data\road_images\1140342792_1140342783_0\0_160.jpg,3,0.5829048752784729,272.9919128417969,333.9750061035156,347.9039001464844,347.3851623535156
1140342796_940969330_0,1140342796,940969330,0,0,10.30102888425986,123.87283509615796,103.80404958918132,data\road_images\1140342796_940969330_0\0_104.jpg,4,0.4460073411464691,374.615966796875,301.3370666503906,445.3050537109375,327.6913146972656
1140342800_1140342796_0,1140342800,1140342796,0,0,10.300970057471599,123.87202155428517,2.4006227348201605,data\road_images\1140342800_1140342796_0\0_2.jpg,1,0.7117053270339966,443.8585510253906,253.82302856445312,625.9736328125,401.0272521972656
1140342800_1140342796_0,1140342800,1140342796,0,0,10.300970057471599,123.87202155428517,2.4006227348201605,data\road_images\1140342800_1140342796_0\0_2.jpg,6,0.49118342995643616,136.86163330078125,264.3128662109375,178.24810791015625,273.6805419921875
1140342800_1140342796_0,1140342800,1140342796,0,0,10.300970057471599,123.87202155428517,2.4006227348201605,data\road_images\1140342800_1140342796_0\0_2.jpg,1,0.4417070150375366,500.42694091796875,254.2391357421875,638.6289672851562,354.07440185546875
1140342800_1140342796_0,1140342800,1140342796,0,0,10.300970057471599,123.87202155428517,2.4006227348201605,data\road_images\1140342800_1140342796_0\0_2.jpg,3,0.3962690830230713,0.48938512802124023,312.4437255859375,13.457517623901367,320.84344482421875
1140342800_1140342796_0,1140342800,1140342796,0,0,10.300970057471599,123.87202155428517,2.4006227348201605,data\road_images\1140342800_1140342796_0\0_2.jpg,4,0.25257065892219543,557.0883178710938,425.82623291015625,640.0,445.539306640625
1140342806_1140342796_0,1140342806,1140342796,0,0,10.301271652315437,123.8718306384996,103.80053763805302,data\road_images\1140342806_1140342796_0\0_104.jpg,3,0.651866614818573,417.0558776855469,317.8775634765625,470.9833679199219,348.38916015625
1140342806_324580358_0,1140342806,324580358,0,0,10.301443479515779,123.87111999504427,283.80708206317024,data\road_images\1140342806_324580358_0\0_284.jpg,4,0.413286954164505,123.25007629394531,307.6776123046875,425.57989501953125,328.3507080078125
1140342806_324580358_0,1140342806,324580358,0,0,10.301443479515779,123.87111999504427,283.80708206317024,data\road_images\1140342806_324580358_0\0_284.jpg,6,0.380866140127182,437.1274108886719,115.4334716796875,462.9778137207031,122.983154296875
8318117591_940969330_0,8318117591,940969330,0,0,10.3007503,123.8734303,58.27706396176097,data\road_images\8318117591_940969330_0\0_58.jpg,0,0.2688215374946594,341.22601318359375,301.6725158691406,375.6185302734375,316.4551696777344
8318117591_8496942435_0,8318117591,8496942435,0,0,10.300492089024692,123.87300585666812,238.2694450148769,data\road_images\8318117591_8496942435_0\0_238.jpg,3,0.77385413646698,617.05419921875,281.68072509765625,640.0,297.66583251953125
8318117591_8496942435_0,8318117591,8496942435,0,0,10.300492089024692,123.87300585666812,238.2694450148769,data\road_images\8318117591_8496942435_0\0_238.jpg,3,0.6883211731910706,602.2101440429688,300.5101623535156,618.6936645507812,311.4609680175781
8318117591_8496942435_0,8318117591,8496942435,0,0,10.300492089024692,123.87300585666812,238.2694450148769,data\road_images\8318117591_8496942435_0\0_238.jpg,3,0.5218871831893921,610.7374877929688,287.2382507324219,639.2224731445312,302.3673400878906
8496942434_8496942435_0,8496942434,8496942435,0,0,10.300068,123.87293745,323.4612867639647,data\road_images\8496942434_8496942435_0\0_323.jpg,4,0.35496845841407776,220.5640869140625,401.643798828125,631.1204833984375,427.50347900390625
10880381541_10880381536_0,10880381541,10880381536,0,0,10.298279091694171,123.87216566588455,174.93124326216855,data\road_images\10880381541_10880381536_0\0_175.jpg,3,0.5109238624572754,338.3686218261719,388.02569580078125,363.5742492675781,397.1513671875
